ticker,entry,price_changes_1,price_changes_3,price_changes_5,price_changes_10,price_changes_20,indicator_changes_1,indicator_changes_3,indicator_changes_5,indicator_changes_10,indicator_changes_20,percentage_of_high_indicator_3,percentage_of_high_indicator_5,percentage_of_high_indicator_10,percentage_of_high_indicator_20,day_1,day_2,day_3,day_4,day_5,close_1,close_2,close_3,close_4,the_high,the_low,the_entry,date,result
AAL,60,-7.801,-22.143,-2.193,-11.23,4.473,25.133,61.921,20.821,31.377,-25.508,11.03,11.03,11.03,11.03,-20.885,-20.215,17.9,18.889,25.132,0.9689092762487258,0.9449541284403669,0.9704383282364932,1.0331294597349643,1.058,0.927,9.81,2020-05-04,1.0244648318042813
AAL,69,-1.126,-5.858,-10.735,-14.972,-21.806,4.601,15.173,21.224,40.501,55.171,3.747,3.769,7.273,11.96,0.363,2.11,4.601,5.688,8.461,1.0920747209019566,1.0655465900298442,1.0909693821156183,1.0915220515087873,1.126,1.035,9.047,2020-05-15,1.0743893003205482
AAL,87,-15.486,-29.18,-14.057,31.085,58.161,22.114,37.846,7.298,-48.432,-105.727,6.933,8.268,8.268,8.268,-25.95,-4.599,2.786,12.946,22.114,1.164116828929068,1.1627260083449233,1.1849791376912377,1.1808066759388038,1.28,1.054,14.38,2020-06-11,1.14673157162726
AAL,94,-6.75,-12.132,-10.766,-26.521,53.498,9.589,11.185,6.159,32.22,-89.514,0.737,5.972,6.682,7.969,-4.771,-2.904,-0.256,4.501,9.589,0.9376675603217158,0.8719839142091153,0.8820375335120644,0.8284182305630027,0.958,0.806,14.92,2020-06-22,0.8927613941018767
AAL,100,-2.027,-0.836,-6.719,-23.415,16.518,2.964,1.43,5.406,23.626,-40.033,5.326,5.326,5.326,9.111,-6.023,0.075,2.964,3.901,4.489,0.9808429118773946,0.9574712643678159,0.9808429118773946,0.9134099616858237,1.095,0.876,13.05,2020-06-30,0.9187739463601532
AAL,115,-0.916,-4.698,-15.476,-5.254,-18.799,1.809,0.237,9.016,-3.816,-4.241,0.502,4.032,7.174,7.174,-0.865,-0.707,1.363,1.809,7.416,1.0360915492957747,1.0017605633802817,1.0026408450704227,1.0360915492957747,1.092,0.969,11.36,2020-07-22,1.0035211267605635
AAN,21,-6.812,-14.142,-16.379,-25.092,-41.596,10.069,28.594,26.776,43.638,70.314,4.254,4.254,4.254,4.254,-2.312,0.494,7.167,10.069,11.358,1.0363972970950408,0.9305984509645469,0.8562616223548335,0.9293646163628638,1.038,0.738,32.42,2020-03-09,0.7462986138598952
AAN,27,-9.692,-21.29,-34.97,-41.95,-62.033,22.839,56.202,98.83,122.554,168.515,7.501,7.501,7.501,7.501,-13.282,20.321,22.308,22.838,46.645,0.840732289177093,0.8347825836464018,0.686041167478912,0.7194508005757486,0.959,0.595,21.85,2020-03-17,0.9521739103867396
AAN,38,-13.383,-16.143,-16.849,7.458,-47.722,31.624,37.227,23.483,-54.049,117.182,11.003,14.027,14.027,14.027,-9.055,-4.689,-1.698,7.301,31.624,0.9711246200607905,0.9422492401215807,1.1200607902735562,1.1570415400202636,1.255,0.93,19.74,2020-04-01,1.1965552178318137
AAN,48,-0.989,-6.764,-2.54,16.616,25.313,0.292,14.819,6.85,-37.626,-91.675,2.659,2.659,2.659,12.029,-11.734,-7.632,0.292,3.765,22.159,1.0682015638575153,1.0729800173761945,1.0108601216333624,1.025629887054735,1.103,1.002,23.02,2020-04-16,1.048653344917463
