days,Multiplication,change 1,change 2,change 3,Count Diff,Top,Classification,ID
1,7.222759789,1.002240707,0.977187514,1.03551229,79,0.229621239,1,36
2,8.278836364,0.902298876,1.022222236,0.932918492,2,0.372903459,1,37
4,8.440291855,1.020979021,0.94331069,0.937500007,1,0.915875583,0,37
4,7.696430911,0.987769365,1.049200492,0.771498771,2,0.388284548,1,37
7,7.614803292,0.986528497,1.144381856,0.948235294,8,0.871618394,1,38
8,9.106981599,1.092237049,1.073229395,0.887244538,5,0.911090892,1,38
7,9.712764841,1.014901111,0.991347006,0.921052632,9,0.526771668,1,38
1,7.118108655,1,0.941873752,1.039395928,2,0.396019084,1,39
1,7.900996192,0.882361197,0.939354342,1.124244801,1,0.348710788,0,39
11,8.328519745,0.95890411,1.105633803,0.940074906,2,0.492162846,1,40
2,8.137148449,0.992924528,0.989475698,0.85730839,2,0.31174881,1,41
3,8.435656493,1.045636509,1.13894081,0.789634135,1,0.216013845,0,42
1,7.698139101,0.99826087,1.043374643,1.054244098,2,0.482698713,1,42
3,7.353835686,0.909631152,0.939445064,1.264546259,3,0.512157232,1,43
1,7.564740917,1.019046885,0.996321275,0.942568093,5,0.480738028,1,43
2,7.798249663,0.997306311,0.972512924,1.036753446,15,0.451904543,1,44
1,7.126531181,1.007289596,0.97148289,1.166873835,2,0.669323464,1,45
2,7.437344907,1.055813953,0.950698758,0.743169435,1,0.683519827,0,46
1,8.608567781,1.004430125,0.973704867,1.01010101,1,0.37828013,0,46
1,7.908582163,1.03231441,0.938511327,1.118684844,5,0.485289161,1,46
1,7.18937143,1.026278409,0.992977528,0.923289565,5,0.285348071,1,46
4,7.956116029,0.990226532,0.9952241,0.985238456,6,0.452480841,1,47
2,7.171196587,1.004021448,1.025,0.934649421,8,0.474347124,1,47
2,7.240512412,1.00765679,0.858951335,1.175103561,1,0.701151801,0,48
1,7.405668759,0.940177253,1.021026969,1.004053001,1,0.324735709,0,48
2,7.708254221,0.949238579,0.965893588,0.991912995,2,0.553478995,1,49
3,7.466180765,1.005154639,1.010945709,0.992108724,5,0.775630962,1,50
1,7.207361837,1.004586241,1.017107619,1.00404122,1,0.506747668,0,51
1,8.060796481,0.964808141,0.945061484,1.016871775,11,0.484813043,1,51
1,7.459884073,1.026506024,0.987728585,0.812463257,2,0.289067309,1,52
10,8.045670975,0.980605487,1.21922626,0.921637427,2,0.41051877,1,52
4,8.895545696,1.072889657,0.933378378,0.992976427,1,0.543506338,0,53
2,8.630988338,0.995158121,0.98086747,0.970332622,8,0.429432055,1,54
1,7.010174581,1.032110092,0.940125112,1.263259439,1,0.733511342,0,55
7,7.475435535,0.991345738,1.001737619,0.953719723,23,0.6125764,1,56
3,8.000890158,0.999302163,0.985463775,0.969191568,5,0.59044616,1,57
10,9.123250495,1.006057692,1.022066199,0.93844697,4,1.032261337,1,58
7,8.092051548,1.016881259,1.049019608,1.004891304,3,0.26247108,1,59
4,8.540070811,1.018065887,0.996420902,0.985895628,17,0.260940635,1,59
10,8.722687737,1.010572139,0.977300242,0.924094307,8,0.716926642,1,59
4,7.446707923,0.977386935,0.98430634,1.012360939,2,0.426051624,1,59
1,7.058674358,1.001179709,0.991109393,0.872545245,59,0.533264589,1,60
1,7.866215622,0.865138233,0.964009544,1.297860276,1,0.786951565,0,61
7,8.14914357,1.025495376,1.475287638,0.827626452,2,0.284409412,1,61
1,7.401224136,1.029325513,0.961926962,0.939370683,9,0.335246086,1,62
4,8.436598981,1.005440258,0.948787062,1.025710947,7,0.640397771,1,63
7,8.802104495,0.987010221,0.998917358,0.911264035,22,0.705422847,1,63
4,7.673883828,0.974549708,0.947742717,0.992247999,4,0.275890939,1,64
3,7.874355134,0.795776367,0.996385818,1.430158269,2,0.441436623,1,64
2,7.242181478,1.033618244,1.111286279,1.788947906,4,0.487226594,1,64
1,7.710594594,0.996588583,1.009330559,0.882288491,3,0.452008698,1,64
7,7.582263825,1.003202391,0.953220055,0.821872987,2,0.394014179,1,64
2,7.637380338,0.984729987,0.971889749,0.964517269,1,0.467761458,0,65
6,9.008628656,1.037784091,0.992797491,1.053432827,2,0.25016381,1,65
1,7.008922156,0.95970971,1.06787814,0.839036398,42,0.288684814,1,65
1,10,1.006893296,0.971895425,0.93797032,3,0.340006676,1,66
2,7.533822183,1.012841091,1.032564021,1.122832053,15,0.535684445,1,66
1,7.697793579,1.002345353,0.982999335,0.884478957,14,0.640256043,1,66
7,9.423071933,1.006381858,0.909098423,,2,0.593948013,1,67
